Station,Entries,Latitude,Longitude,Year
Tecoma,47250,-37.90811849,145.3429946,2024
Thomastown,635600,-37.68033809,145.0142789,2023
Thomastown,595700,-37.68033809,145.0142789,2024
Thornbury,372350,-37.75505179,144.9985715,2023
Thornbury,376150,-37.75505179,144.9985715,2024
Toorak,363150,-37.85077381,145.0139086,2023
Toorak,417900,-37.85077381,145.0139086,2024
Tooronga,467850,-37.84936553,145.0417337,2023
Tooronga,453150,-37.84936553,145.0417337,2024
Tottenham,422000,-37.7992509,144.8629449,2023
Tottenham,394350,-37.7992509,144.8629449,2024
Tyabb,3250,-38.259815,145.1864007,2023
Tyabb,4050,-38.259815,145.1864007,2024
Union,512800,-37.823477,145.1000368,2023
Union,593100,-37.823477,145.1000368,2024
Upfield,275250,-37.66607779,144.9467399,2023
Upfield,264250,-37.66607779,144.9467399,2024
Upper Ferntree Gully,155150,-37.8926717,145.3075302,2023
Upper Ferntree Gully,180450,-37.8926717,145.3075302,2024
Upwey,92050,-37.90369097,145.3313334,2023
Upwey,97850,-37.90369097,145.3313334,2024
Victoria Park,615100,-37.79915782,144.9944514,2023
Victoria Park,659700,-37.79915782,144.9944514,2024
Watergardens,528500,-37.70112872,144.7741805,2020
Watergardens,1258850,-37.70112872,144.7741805,2023
Watergardens,1295450,-37.70112872,144.7741805,2024
Watsonia,434900,-37.71095798,145.0837934,2023
Watsonia,315600,-37.71095798,145.0837934,2024
Wattle Glen,30100,-37.66396792,145.1816145,2023
Wattle Glen,27200,-37.66396792,145.1816145,2024
Werribee,351350,-37.89937805,144.661118,2020
Werribee,1085250,-37.89937805,144.661118,2023
Werribee,1049600,-37.89937805,144.661118,2024
West Footscray,522700,-37.8018087,144.8853248,2023
West Footscray,512550,-37.8018087,144.8853248,2024
West Richmond,396750,-37.81494896,144.9914228,2023
West Richmond,407750,-37.81494896,144.9914228,2024
Westall,665850,-37.93849121,145.1388326,2023
Westall,634250,-37.93849121,145.1388326,2024
Westgarth,195700,-37.7806207,144.9992332,2023
Westgarth,201950,-37.7806207,144.9992332,2024
Westona,222100,-37.86516348,144.8134936,2023
Westona,229400,-37.86516348,144.8134936,2024
Williams Landing,411450,-37.86986533,144.7474447,2020
Williams Landing,1359750,-37.86986533,144.7474447,2023
Williams Landing,1389550,-37.86986533,144.7474447,2024
Williamstown,143650,-37.86775292,144.9053233,2023
Williamstown,149500,-37.86775292,144.9053233,2024
Williamstown Beach,158900,-37.86398189,144.8944837,2023
Williamstown Beach,166350,-37.86398189,144.8944837,2024
Willison,75100,-37.83571565,145.0702976,2023
Willison,73100,-37.83571565,145.0702976,2024
Windsor,601350,-37.85605308,144.9920352,2023
Windsor,586800,-37.85605308,144.9920352,2024
Yarraman,275650,-37.97825454,145.1916003,2023
Yarraman,272450,-37.97825454,145.1916003,2024
Yarraville,368300,-37.81585044,144.8899337,2020
Yarraville,794400,-37.81585044,144.8899337,2023
Yarraville,820600,-37.81585044,144.8899337,2024
